ID,カテゴリ,物品名,値段,説明書,備考,status
1,C,BELSON DS19-11B,500,あり,2010年度製(?),
2,C,EPSON Colorio PX-501A,500,あり,,
3,F,棚（ガラス戸）,1000,,上部へこみあり,売約済み
4,F,棚（段違い）,500,,,
5,E,椅子（回転）,200,,,
6,G,3段ケース,500,,,
7,C,MT08BLV,500,,,
8,E,座椅子,200,,,
9,E,ソファー,1000,,,
10,E,椅子（高い）,500,,,
11,E,座椅子（青）,200,,,
12,F,ラック,500,,,
13,Z,突っ張り棒収納,200,,,
14,Z,突っ張り棒収納,200,,,売約済み
15,F,棚（？）,500,,多分棚。横に伸びる,
16,C,AMY-01,500,,型番は予測,
17,A,JR-N91K,1000,,,
18,A,JR-N91K,1000,,,
19,A,JW-K42K,1000,,,売約済み
20,A,JW-K42K,1000,,,
21,A,冷蔵庫（背高),1000,,,
22,E,机（黒）,500,,,
23,E,机（白）,500,,,
24,F,ラック（白木）,500,,,
25,E,椅子（黒）,200,,,
26,E,椅子（灰）,200,,,
27,F,本棚（背高）,500,,,
28,F,カラーボックス（白）,200,,,
29,B,レンジ,500,,,売約済み
30,D,物干し竿,500,,,売約済み
31,E,机（ガラス）,1000,,,
32,E,椅子（革）,500,,,売約済み
33,B,NE-EH21A,500,,,
34,B,KAA-B100,500,,,
35,Z,ベッド（解体済み）,1000,,ニトリ製。,
36,Z,姿見,200,,,
37,D,物干し竿（黒）,200,,,
38,E,机（黒）,500,,机用の棚とセット,
39,F,カラーボックス（黒）,200,,,
40,A,NW-5TR,1000,,,
41,F,カラーボックス（背高）,200,,棚板1枚だけ色違い,
42,F,カラーボックス（白）,200,,,
43,F,本棚（黒）,200,,,
44,F,テレビ台（白）,200,,歪みあり,
45,E,デスク（黒）,1000,,解体済み,
46,E,デスク（小）,1000,,,
47,A,UR-F110F,1000,,,
48,Z,鏡（足なし）,200,,,
49,G,収納ケース,200,,,
50,Z,IC-S76F-L,1000,,,
51,F,カラーボックス,200,,,
52,E,椅子（茶）,200,,,
53,E,机（木）,1000,,,
54,E,座椅子（箱）,500,,未開封,
55,E,座椅子（白）,200,,,
56,A,SJ-H12B-S,1000,,,
57,A,NW-5TR,1000,,,
58,F,棚（白）,500,,,
59,Z,クッション（2個）,200,,,
60,Z,ソファーベット,1000,,,
61,Z,仕切り,200,,,
62,Z,脚立,200,,,売約済み
63,Z,置き鏡（ピンク）,200,,,
64,D,物干し竿（2本）,200,,,
65,E,テーブル（木）,500,,,
66,C,デスク照明（LE-H842）,200,,,
67,Z,壁面収納,1000,,ヒビあり,
68,Z,突っ張り棒収納,200,,,
69,Z,KGM33NDG,1000,,,
70,C,TC-5159,500,,,
71,Z,滑り止めシート,200,,,
72,F,棚（白）,500,,,
73,A,R-15MWT,1000,,,
74,E,机,500,,歪みあり,
